model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Fine-tuned DistilBERT,0.9855973813420622,0.9925415949512336,0.9742819598272948,0.9833270178097764,,6854.0,39.0,137.0,5190.0
TF-IDF + Logistic Regression,0.9330605564648118,0.9256182744949972,0.9204054815092922,0.9230045180722892,0.980845943808236,,,,
Xgboost,0.9214402618657938,0.9069897483690588,0.9134597334334522,0.9102132435465768,0.9766025560982566,,,,
TF-IDF + XGBoost,0.912847790507365,0.8963913690476191,0.9046367561479256,0.9004951882649725,0.972015422746544,,,,
TF-IDF + MultinomialNB,0.8636661211129296,0.8309528114265051,0.8627745447719166,0.8465647448885613,0.9383217047975502,,,,
SBERT + XGBoost,0.8624386252045827,0.8651842948717948,0.8107752956636005,0.8370966178893303,0.9352228468244964,,,,
SBERT + Logistic Regression,0.8612111292962357,0.8590073165908642,0.8154683686878168,0.8366718027734977,0.9337865063958286,,,,
SBERT + Logistic Regression,0.8604746317512275,0.8577637297510865,0.8150929228458795,0.8358841081913563,0.9334099167322344,,,,
SBERT + XGBoost,0.8612929623567921,0.863345338135254,0.810024403979726,0.8358353510895883,0.9353336477390418,,,,
SBERT + GaussianNB,0.7265139116202946,0.6734836567033735,0.7232964144922095,0.6975018102824041,0.8069478096782072,,,,
SBERT + GaussianNB,0.7265139116202946,0.6734836567033735,0.7232964144922095,0.6975018102824041,0.8025608178825949,,,,
